Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Philippine Forest Turtle,"Philippine pond turtle, Palawan turtle, Leyte pond turtle","Siebenrockiella leytensis is a species of freshwater turtle endemic to the Philippines. It is classified as critically endangered. It is known as the Philippine forest turtle, the Philippine pond turtle, the Palawan turtle, or the Leyte pond turtle. Despite the latter common name, it does not occur in the island of Leyte but is instead native to the Palawan island group. It is locally known as bakoko in Cuyonon.
Philippine forest turtles are readily recognizable by their ginkgo-shaped vertebral scutes and a pale white to yellow line traversing across its head behind the ears. The previous characteristic has earned it the nickname of 'bowtie turtle'.
Philippine forest turtles are classified under the subgenus Panyaenemys. Together with the smiling terrapin (Siebenrockiella crassicollis ), it is one of the two species in the genus Siebenrockiella.
SHOW LESS",Animalia,Chordata,Vertebrata,Reptilia,Testudines,Geoemydidae,Siebenrockiella,Cervinae,Ruminantia,Testudinoidea,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Tropical dry forest,",,,,"Philippine forest turtles are known only from northern Palawan and surrounding islands. This includes the island of Dumaran where these turtles are still relatively abundant in creeks. In the areas of Taytay and San Vicente, it is believed their populations are declining sharply. Philippine forest turtles live in the lowland riparian forests in rivers, swamps, and streams.","The Philippine forest turtle is an enigmatic freshwater turtle species, it exerts great fascination for turtle hobbyists. Due to the previous inability to locate it in the wild, the main threats to this species are thought to be habitat loss and potential pressure from collectors. Local Palawan people are known to keep these turtles in water troughs for domestic pigs, as these are supposed to bring luck for the household and the pigs, although it is not known if this luck is shared by the turtles.","The IUCN Red List and other sources don’t provide the number of the Philippine forest turtle total population size. Currently, this species is classified as Critically Endangered (CR) on the IUCN Red List.",,,Decreasing,Critically endangered (CR)
Philippine Deer,"Philippine sambar, Philippine brown deer","The Philippine deer (Rusa marianna ), also known as the Philippine sambar or Philippine brown deer, is a vulnerable deer species endemic to the Philippines. It was first described from introduced populations in the Mariana Islands, hence the specific name.",Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Rusa,Alcedininae,Ruminantia,Muroidea,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Flooded grasslands and savannas ,",Federated States of Micronesia,,,"Philippine deer occur in the islands of Luzon, Polillo and Catanduanes, Mindoro, Samar, and Leyte. They live in primary and secondary forests where they prefer to forage in grasslands.","Philippine deer are threatened by several factors that contribute to their rapidly declining population. Habitat loss and fragmentation drive these animals to hide in the remaining patches of forest with scarce food to eat. While they forage in grasslands, Philippine deer prefer forest shade as hiding places, especially during the daytime. Females of this species also have low fertility, giving birth to only a single fawn. This means that excessive hunting has a high tendency of declining their population. Philippine deer are also hunted for meat and antlers which aside from being a common household decoration, are also used in traditional medicine.","The IUCN Red List and other sources don’t provide the number of the Philippine deer total population size. Currently, this species is classified as Vulnerable (VU) on the IUCN Red List and its numbers today are decreasing.",,,Decreasing,Vulnerable (VU)
Visayan Spotted Deer,"Philippine spotted deer, Prince Alfred's deer, Visayan deer, Prince alfred's deer","The Visayan spotted deer (Rusa alfredi ), also known as the Visayan deer, the Philippine spotted deer or Prince Alfred's deer, is a nocturnal and endangered species of deer located primarily in the rainforests of the Visayan islands of Panay and Negros though it once roamed other islands such as Cebu, Guimaras, Leyte, Masbate, and Samar. It is one of three endemic deer species in the Philippines, although it was not recognized as a separate species until 1983. An estimated 2,500 mature individuals survived worldwide as of 1996, according to the IUCN, although it is uncertain of how many of them still survive in the wild. The diet of the deer, which consists of a variety of different types of grasses, leaves, and buds within the forest, is the primary indicator of its habitat. Since 1991 the range of the species has severely decreased and is now almost co-extensive with that of the Visayan warty pig.
In April 2009 an expedition team of British and Filipino mountaineers and scientists discovered evidence of two separate groups of deer in the North Negros Natural Park. These signs (scat and feeding sites) are believed to be the first scientific evidence of the deer's activity for over 25 years. It is estimated that an estimated 300 animals survive on the island of Negros. Conservation efforts are currently underway with the intention of preserving the remaining population of the species but are poorly funded and supported.
In 2012, the Negros Interior Biodiversity Expedition camera trapped the centre of the North Negros Natural Park and gained the first photos take in the wild of the species.
SHOW LESS",Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Rusa,Alcedininae,Alcedini,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Tropical dry forest,","Guam,",,,"Visayan spotted deers are found only in the rainforests of the Visayan islands of Panay and Negros of the central Philippines. Their habitat is in dense cogon grassland, and primary and secondary forest. They may also visit burnt-out forest clearings for the floral ash.","Hunting and forest clearances as a result of logging activities and agricultural conversion are thought to be the causes of a devastating drop in the numbers of Visayan deer. Hunting, both by locals and sport hunters has also made an impact; subsistence hunting, sales of venison to local markets and specialty restaurants, and live trapping for the pet trade have all contributed to the species' dwindling numbers. Isolation and reduction of the population are likely to have led to some herds becoming moribund.","According to the IUCN Red List, the total population size of the Visayan spotted deer is 700 mature individuals. Currently, this species is classified as Endangered (EN) on the IUCN Red List and its numbers today are decreasing.",,,Decreasing,Endangered (EN)
Windowpane oyster,,"The windowpane oyster (Placuna placenta ) is a bivalve marine mollusk in the family of Placunidae. They are edible, but valued more for their shells (and the rather small pearls). The shells have been used for thousands of years as a glass substitute because of their durability and translucence. More recently, they have been used in the manufacture of decorative items such as chandeliers and lampshades; in this use, the shell is known as capiz shell (kapis ). Capiz shells are also used as raw materials for glue, chalk and varnish.
Distribution extends from the shallows of the Gulf of Aden to around the Philippines, where it is abundant in the eponymous province of Capiz. The mollusks are found in muddy or sandy shores, in bays, coves and lagoons to a depth of about 100 m (330 ft).
Populations have been in decline because of destructive methods of fishing and gathering such as trawling, dredging, blast fishing and surface-supplied diving. In the Philippines, fisheries are now regulated through permits, quotas, size limits and protected habitats. In spite of this, resources continue to be depleted.
The nearly flat shells of the capiz can grow to over 150 mm (5.9 in) in diameter, reaching maturity between 70 to 100 mm (2.8 to 3.9 in). The shell is secured by a V-shaped ligament. Males and females are distinguished by the color of the gonads. Fertilization is external and larvae are free-swimming like plankton for 14 days or attached to surfaces via byssal thread during metamorphosis, eventually settling on the bottom. They consume plankton filtered from the water passing through their slightly opened shell; the shell closes if the bivalve is above water during low tide.
SHOW LESS",Animalia,Mollusca,Vertebrata,Bivalvia,Pectinida,Placunidae,Placuna,Alcedininae,Caniformia,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Tropical dry forest,",,,,,The main threats to Palawan stink badgers include habitat loss especially due to the ongoing development of plantations and roadkill.,,,,Decreasing,Critically endangered (CR)
Red-vented cockatoo,"Philippine cockatoo, Katala, Abukay, Agay, Kalangay","The red-vented cockatoo (Cacatua haematuropygia ), also known as the Philippine cockatoo and locally katala, abukay, agay or kalangay, is a critically endangered species of cockatoo that is endemic to the Philippines though pressured by various environmental degradation and illegal pet trades, the population of the Philippine cockatoo is somehow growing owing to Katala Organization.It is roughly the size and shape of the Tanimbar corella, but is easily distinguished by the red feathers around the vent. It is threatened by habitat loss and the cage-bird trade.",Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Cacatuidae,Cacatua,Halcyoninae,Serpentes,Muroidea,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,"Indonesia,",,,,"The main threats to the Philippine warty pigs include hunting and loss of their natural habitat from deforestation and uncontrolled logging and hunting. Due to loss of habitat, Philippine warty pigs, have been forced into close contact with domestic pigs (the domesticated variety of the non-endemic Eurasian wild boar), and hybridization between the two species has been reported; this accordingly poses another serious threat to Philippine warty pigs.","According to IUCN Red List, the Palawan stink badger is locally common throughout its range but no overall population estimate is available. Currently, this species is classified as Least Concern (LC) on the IUCN Red List and its numbers today are stable.",,,Decreasing,Vulnerable (VU)
Dolabella auricularia,Wedge sea hare,"Dolabella auricularia, also known as the wedge sea hare, is a species of large sea slug, a marine opisthobranch gastropod mollusk in the family Aplysiidae, the sea hares.",Animalia,Mollusca,Vertebrata,Gastropoda,Coraciiformes,Aplysiidae,Dolabella,Alcedininae,Iguania,Muroidea,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Mangrove,",,,,,"Samar cobras are considered threatened at present. However, since their main food source is attracted to rice paddies and human settlements, these snakes are often persecuted by people.","The IUCN Red List and other sources don’t provide the number of the Philippine warty pig total population size. Currently, this species is classified as Vulnerable (VU) on the IUCN Red List and its numbers today are decreasing.",,,Stable,Vulnerable (VU)
Philippine dwarf kingfisher,,"The Philippine dwarf kingfisher (Ceyx melanurus ) is a species of bird in the family Alcedinidae that is endemic to the Philippines found in the islands of Luzon, Polillo Islands, Catanduanes, Basilan, Samar, Leyte and Mindanao. Its natural habitat is tropical moist lowland forests. It is threatened by habitat loss.",Animalia,Chordata,Vertebrata,Aves,Galliformes,Alcedinidae,Ceyx,,Serpentes,Muroidea,Neornithes,Neognathae,Neoaves,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,,,"According to IUCN Red List, the Samar cobra is locally common throughout its range but no overall population estimate is available. Currently, this species is classified as Least Concern (LC) on the IUCN Red List but its numbers today are decreasing.",,,Decreasing,Least concern (LC)
Palawan peacock-pheasant,,"The Palawan peacock-pheasant (Polyplectron napoleonis ) is a medium-sized (up to 50 cm long) bird in the family Phasianidae.
It is featured prominently in the culture of the indigenous people of Palawan. The bird is also depicted in the official seal of the city of Puerto Princesa.",Animalia,Chordata,Vertebrata,Aves,Carnivora,Phasianidae,Polyplectron,Carduelinae,Ruminantia,Muroidea,Neornithes,Neognathae,Neoaves,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,,"The main threats to this species include habitat loss, hunting for food, and collection for the pet trade.","The IUCN Red List and other sources don’t provide the number of the Philippine sailfin lizard total population size. Currently, this species is classified as Least Concern (LC) on the IUCN Red List, but its numbers today are decreasing.",,,Decreasing,Vulnerable (VU)
Palawan stink badger,"Pantot, Tuldo","The Palawan stink badger (Mydaus marchei ), pantot or tuldo in the Batak language, is a carnivoran of the western Philippines named for its resemblance to badgers, its powerful smell, and the largest island to which it is native, Palawan. Like all stink badgers, the Palawan stink badger was once thought to share a more recent common ancestor with badgers than with skunks. Recent genetic evidence, however, has led to their re-classification as one of the Mephitidae, the skunk family of mammals.",Animalia,Chordata,Chordata,Mammalia,Artiodactyla,Mephitidae,Mydaus,,Alcedini,Muroidea,Neornithes,Neognathae,Neoaves,Asia,Southeast Asia,Philippines,Indomalayan,,,,,"Palawan stink badgers live on the Philippine island of Palawan, and also on the neighboring islands of Busuanga and Calauit. They inhabit forests, grasslands, and cultivated areas on these islands, and use local shrubs for shelter.","The major threats to this species include hunting, habitat loss, and hybridization with domestic pigs.","According to the IUCN Red List, the Palawan bearded pig is locally common throughout its range but no overall population estimate is available. Currently, this species is classified as Near Threatened (NT) on the IUCN Red List and its numbers today are decreasing.",,,Decreasing,Least concern (LC)
Philippine Warty Pig,,"The Philippine warty pig (Sus philippensis ) is one of four known species in the pig genus (Sus ) endemic to the Philippines. It has multiple native common names, but it is most widely known as baboy damo (""bush pig"") in Tagalog.",Animalia,Chordata,Vertebrata,Mammalia,Squamata,Suidae,Sus,,Alcedini,Muroidea,Neornithes,Neognathae,Neoaves,Asia,,Philippines,Indomalayan,,,,,"Philippine warty pigs are native to the western islands of the Philippines. The original distribution of this species covered the western islands of the Philippines. Their range included Luzon, Biliran, Samar, Leyte, Mindoro, Mindanao, Jolo, Polillo, Catanduanes, and possibly other islands. The warty pigs in Lubang Island and its outlying islands may be a distinct species. Philippine warty pigs formerly lived in most habitats (from sea level to up to 2800 m) but now are confined only to remote forests.","Although not being threatened, these snakes suffer from the loss of their native habitat, collection for the pet trade, and persecution.","The IUCN Red List and other sources don’t provide the number of the Philippine pit viper population size. Currently, this species is classified as Least Concern (LC) on the IUCN Red List, but its numbers today are decreasing.",,,Decreasing,Vulnerable (VU)
Samar Cobra,"Peters' cobra, Southern philippine cobra, Visayan cobra",The Samar cobra (Naja samarensis) is a highly venomous species of spitting cobra native to the Philippines.,Animalia,Chordata,Vertebrata,Reptilia,Strigiformes,Elapidae,Naja,,Alcedini,Muroidea,Neornithes,Neognathae,Neoaves,Asia,,Philippines,Indomalayan,,,,,"Samar cobras are native to the southern Philippines. Specifically, the Visayas and Mindanao island groups. They inhabit a variety of habitats from mountainous jungles to tropical plains. They can also live in cultivated areas and close to human settlements.",,,,,Decreasing,Vulnerable (VU)
Philippine eagle-owl,,"The Philippine eagle-owl (Bubo philippensis ) is a vulnerable species of owl belonging to the family Strigidae. It is endemic to the Philippines, where it is found in lowland forests on the islands of Catanduanes, Samar, Bohol, Mindanao, Luzon, Leyte and possibly Sibuyan. The Philippine eagle-owl feeds on rodents and amphibians. Due to their reliance on living in large lowland forests, forest conservation is important in order to maintain populations of the Philippine eagle-owl, which is becoming increasingly vulnerable to going extinct. The Philippine eagle-owl was previously listed as endangered, but due to destruction of lowland habitat and possible hunting, the eagle-owl has since been adjusted to the vulnerability of extinction.",Animalia,Chordata,Vertebrata,Aves,Bucerotiformes,Strigidae,Bubo,,Alcedini,Muroidea,Neornithes,Neognathae,Neoaves,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Rufous hornbill,"Philippine hornbill, Kalaw","The rufous hornbill (Buceros hydrocorax ), also known as the Philippine hornbill and locally as kalaw (pronounced KAH-lau), is a large species of hornbill endemic to the Philippines (the largest hornbill in the country). The are referred by locals as the ""clock-of-the-mountains"" due to its large booming call which typically occur of every hour. It occurs in moist tropical lowland forest. They are now considered to be a threatened species and its reasons for decline being habitat destruction. hunting and poaching for the illegal pet trade.
It is illegal to hunt, capture or possess rufous hornbills under Philippine Law RA 9147.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Squamata,Bucerotidae,Buceros,,Alcedini,Muroidea,Neornithes,Neognathae,Neoaves,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
